time;V(Net-_C3-Pad1_);
0;-5.98317;
1e-08;-5.98317;
2e-08;-5.98317;
4e-08;-5.98317;
8e-08;-5.98317;
1.6e-07;-5.98317;
3.2e-07;-5.98317;
6.4e-07;-5.98317;
1e-06;-5.98317;
1.064e-06;-5.98317;
1.192e-06;-5.98317;
1.448e-06;-5.98317;
1.96e-06;-5.98317;
2.984e-06;-5.98317;
5.032e-06;-5.98317;
9.128e-06;-5.98317;
1.732e-05;-5.98317;
3.3704e-05;-5.98317;
5.3704e-05;-5.98317;
7.3704e-05;-5.98317;
9.3704e-05;-5.98317;
0.000113704;-5.98317;
0.000133704;-5.98317;
0.000153704;-5.98317;
0.000173704;-5.98317;
0.000193704;-5.98317;
0.000213704;-5.98317;
0.000233704;-5.98317;
0.000253704;-5.98317;
0.000273704;-5.98317;
0.000293704;-5.98317;
0.000313704;-5.98317;
0.000333704;-5.98317;
0.000353704;-5.98317;
0.000373704;-5.98317;
0.000393704;-5.98317;
0.000413704;-5.98317;
0.000433704;-5.98317;
0.000453704;-5.98317;
0.000473704;-5.98317;
0.000493704;-5.98317;
0.000513704;-5.98317;
0.000533704;-5.98317;
0.000553704;-5.98317;
0.000573704;-5.98317;
0.000593704;-5.98316;
0.000610704;-5.98316;
0.000627962;-5.98315;
0.000644363;-5.98315;
0.000664363;-5.98314;
0.000684363;-5.98313;
0.000704363;-5.98312;
0.000724363;-5.9831;
0.000744363;-5.98309;
0.000764363;-5.98307;
0.000784363;-5.98306;
0.000804363;-5.98304;
0.000824363;-5.98302;
0.000844363;-5.983;
0.000864363;-5.98298;
0.000884363;-5.98295;
0.000904363;-5.98293;
0.000924363;-5.9829;
0.000944363;-5.98287;
0.000964363;-5.98285;
0.000984363;-5.98282;
0.001001;-5.98279;
0.0010011;-5.98279;
0.0010013;-5.98279;
0.0010017;-5.98279;
0.001002;-5.98279;
0.00100208;-5.98279;
0.00100224;-5.98279;
0.00100256;-5.98279;
0.0010032;-5.98279;
0.00100448;-5.98278;
0.00100704;-5.98278;
0.00101216;-5.98277;
0.0010224;-5.98275;
0.0010424;-5.98272;
0.0010624;-5.98269;
0.0010824;-5.98265;
0.0011024;-5.98261;
